#curie_map:
#  cmpo: http://www.ebi.ac.uk/cmpo/CMPO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/sysmicro.sssom.tsv
#mapping_set_description: Curated cellular microscopy phenotype mappings from SysMicro
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/fg/sym
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Increased nuclear actin	phenotype	skos:closeMatch	cmpo:0000294	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of actin puncta or dots	phenotype	skos:closeMatch	cmpo:0000291	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of actin stress fibers	phenotype	skos:closeMatch	cmpo:0000289	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of cortical actin stress fibers	phenotype	skos:closeMatch	cmpo:0000297	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of filopodia	phenotype	skos:closeMatch	cmpo:0000076	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of multinucleate cells	phenotype	skos:closeMatch	cmpo:0000300	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of transverse actin stress fibers	phenotype	skos:closeMatch	cmpo:0000298	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased number of zigzag actin stress fibers	phenotype	skos:closeMatch	cmpo:0000299	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased peripheral actin	phenotype	skos:closeMatch	cmpo:0000272	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Increased width of lamellae	phenotype	skos:closeMatch	cmpo:0000276	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Intracellular retention of SH4(HASPB)-GFP	phenotype	skos:closeMatch	cmpo:0000346	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Intracellular retention of SH4(YES)-mCherry	phenotype	skos:closeMatch	cmpo:0000346	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Lamellipodia + high actin ratio cells	phenotype	skos:closeMatch	cmpo:0000083	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Lamellipodia + high actin ratio cells	phenotype	skos:closeMatch	cmpo:0000105	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Lamellipodia cells	phenotype	skos:closeMatch	cmpo:0000083	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Large	phenotype	skos:closeMatch	cmpo:0000140	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Large cells	phenotype	skos:closeMatch	cmpo:0000340	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Large nuclei	phenotype	skos:closeMatch	cmpo:0000140	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Loss of cell monolayer	phenotype	skos:closeMatch	cmpo:0000293	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Low eccentricity cells	phenotype	skos:closeMatch	cmpo:0000118	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Metaphase cells	phenotype	skos:closeMatch	cmpo:0000305	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Microtubule clumps	phenotype	skos:closeMatch	cmpo:0000286	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Microtubule nuclear bracket	phenotype	skos:closeMatch	cmpo:0000287	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Microtubule nuclear ring	phenotype	skos:closeMatch	cmpo:0000288	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Microtubule processes	phenotype	skos:closeMatch	cmpo:0000351	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Microtubules disorganised	phenotype	skos:closeMatch	cmpo:0000147	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Misshapen DNA	phenotype	skos:closeMatch	cmpo:0000177	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Mitotic delay/arrest	phenotype	skos:closeMatch	cmpo:0000202	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Mitotic delay/arrest	phenotype	skos:closeMatch	cmpo:0000338	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Motile lamellae	phenotype	skos:closeMatch	cmpo:0000278	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
Multiple layers of cells	phenotype	skos:closeMatch	cmpo:0000282	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
No cells	phenotype	skos:closeMatch	cmpo:0000301	semapv:ManualMappingCuration	Gabriella Rustici	2013-11-22
