#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  GO: http://purl.obolibrary.org/obo/GO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  MP: http://purl.obolibrary.org/obo/MP_
#  OBA: http://purl.obolibrary.org/obo/OBA_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#  PR: http://purl.obolibrary.org/obo/PR_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/eva-clinvar.sssom.tsv
#mapping_set_description: EVA ClinVar disease mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/eva
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
3-methylcrotonyl-coa carboxylase 2 deficiency	disease	skos:closeMatch	MONDO:0008862	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria	disease	skos:closeMatch	MONDO:0017359	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria type 1	disease	skos:closeMatch	MONDO:0009610	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria type 2	disease	skos:closeMatch	MONDO:0010543	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria type 3	disease	skos:closeMatch	MONDO:0009787	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria type 5	disease	skos:closeMatch	MONDO:0012435	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria type 8	disease	skos:closeMatch	MONDO:0044723	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria type 9	disease	skos:closeMatch	MONDO:0044724	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia	disease	skos:closeMatch	EFO:0009014	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia	disease	skos:closeMatch	EFO:0009014	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome	disease	skos:closeMatch	MONDO:0013875	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria, type ix	disease	skos:closeMatch	MONDO:0044724	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria, type viia	disease	skos:closeMatch	MONDO:0859237	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaconic aciduria, type viib	disease	skos:closeMatch	MONDO:0014561	semapv:ManualMappingCuration	eva	2030-03-26
3-methylglutaric aciduria	disease	skos:closeMatch	HP:0003344	semapv:ManualMappingCuration	eva	2030-03-26
3-oxo-5 alpha-steroid delta 4-dehydrogenase deficiency	disease	skos:closeMatch	MONDO:0009923	semapv:ManualMappingCuration	eva	2030-03-26
3m syndrome 1	disease	skos:closeMatch	ORPHA:2616	semapv:ManualMappingCuration	eva	2030-03-26
3m syndrome 2	disease	skos:closeMatch	ORPHA:2616	semapv:ManualMappingCuration	eva	2030-03-26
3m syndrome 3	disease	skos:closeMatch	ORPHA:2616	semapv:ManualMappingCuration	eva	2030-03-26
3mc syndrome	disease	skos:closeMatch	MONDO:0017398	semapv:ManualMappingCuration	eva	2030-03-26
3mc syndrome 3	disease	skos:closeMatch	MONDO:0017398	semapv:ManualMappingCuration	eva	2030-03-26
3p- syndrome	disease	skos:closeMatch	MONDO:0013424	semapv:ManualMappingCuration	eva	2030-03-26
3q29 microdeletion syndrome	disease	skos:closeMatch	ORPHA:65286	semapv:ManualMappingCuration	eva	2030-03-26
4-5 finger cutaneous syndactyly	disease	skos:closeMatch	HP:0010705	semapv:ManualMappingCuration	eva	2030-03-26
4-5 finger syndactyly	disease	skos:closeMatch	HP:0010705	semapv:ManualMappingCuration	eva	2030-03-26
4-5 toe syndactyly	disease	skos:closeMatch	HP:0004692	semapv:ManualMappingCuration	eva	2030-03-26
4-hydroxyphenylpyruvate dioxygenase deficiency	disease	skos:closeMatch	ORPHA:69723	semapv:ManualMappingCuration	eva	2030-03-26
46 xx gonadal dysgenesis	disease	skos:closeMatch	MONDO:0009299	semapv:ManualMappingCuration	eva	2030-03-26
46,xx disorder of sex development	disease	skos:closeMatch	MONDO:0017576	semapv:ManualMappingCuration	eva	2030-03-26
46,xx gonadal dysgenesis	disease	skos:closeMatch	ORPHA:243	semapv:ManualMappingCuration	eva	2030-03-26
46,xx ovarian dysgenesis-short stature syndrome	disease	skos:closeMatch	ORPHA:243	semapv:ManualMappingCuration	eva	2030-03-26
46,xx sex reversal 1	disease	skos:closeMatch	MONDO:0100250	semapv:ManualMappingCuration	eva	2030-03-26
46,xx sex reversal 2	disease	skos:closeMatch	MONDO:0100249	semapv:ManualMappingCuration	eva	2030-03-26
46,xx sex reversal 4	disease	skos:closeMatch	MONDO:0100249	semapv:ManualMappingCuration	eva	2030-03-26
46,xx sex reversal 5	disease	skos:closeMatch	MONDO:0030049	semapv:ManualMappingCuration	eva	2030-03-26
46,xy disorder of sex development	disease	skos:closeMatch	MONDO:0020040	semapv:ManualMappingCuration	eva	2030-03-26
46,xy disorder of sex development due to testicular 17,20-desmolase deficiency	disease	skos:closeMatch	ORPHA:90796	semapv:ManualMappingCuration	eva	2030-03-26
46,xy gonadal dysgenesis, partial, with minifascicular neuropathy	disease	skos:closeMatch	ORPHA:168563	semapv:ManualMappingCuration	eva	2030-03-26
46,xy gonadal dysgenesis-motor and sensory neuropathy syndrome	disease	skos:closeMatch	MONDO:0011766	semapv:ManualMappingCuration	eva	2030-03-26
46,xy ovotesticular disorder of sex development	disease	skos:closeMatch	MONDO:0017968	semapv:ManualMappingCuration	eva	2030-03-26
46,xy partial gonadal dysgenesis	disease	skos:closeMatch	MONDO:0016674	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 1	disease	skos:closeMatch	MONDO:0020712	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 10	disease	skos:closeMatch	MONDO:0010765	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 11	disease	skos:closeMatch	MONDO:8000015	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 2	disease	skos:closeMatch	MONDO:0010765	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 3	disease	skos:closeMatch	MONDO:0013066	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 4	disease	skos:closeMatch	MONDO:0007938	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 5	disease	skos:closeMatch	MONDO:0010765	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 6	disease	skos:closeMatch	MONDO:0013410	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 7	disease	skos:closeMatch	MONDO:0010765	semapv:ManualMappingCuration	eva	2030-03-26
46,xy sex reversal 9	disease	skos:closeMatch	MONDO:0016674	semapv:ManualMappingCuration	eva	2030-03-26
46,xy true hermaphroditism, sry-related	disease	skos:closeMatch	MONDO:0020712	semapv:ManualMappingCuration	eva	2030-03-26
4p partial monosomy syndrome	disease	skos:closeMatch	MONDO:0008684	semapv:ManualMappingCuration	eva	2030-03-26
4p16.3 microduplication syndrome	disease	skos:closeMatch	MONDO:0019873	semapv:ManualMappingCuration	eva	2030-03-26
5-oxoprolinase deficiency	disease	skos:closeMatch	MONDO:0009825	semapv:ManualMappingCuration	eva	2030-03-26
5p partial monosomy syndrome	disease	skos:closeMatch	MONDO:0007404	semapv:ManualMappingCuration	eva	2030-03-26
5q14.3 microdeletion syndrome	disease	skos:closeMatch	MONDO:0016456	semapv:ManualMappingCuration	eva	2030-03-26
5q35 microduplication syndrome	disease	skos:closeMatch	MONDO:0016461	semapv:ManualMappingCuration	eva	2030-03-26
6-pyruvoyl-tetrahydrobiopterin synthase deficiency	disease	skos:closeMatch	MONDO:0009863	semapv:ManualMappingCuration	eva	2030-03-26
6-pyruvoyl-tetrahydrobiopterin synthase deficiency	disease	skos:closeMatch	ORPHA:13	semapv:ManualMappingCuration	eva	2030-03-26
6-pyruvoyl-tetrahydrobiopterin synthase deficiency	disease	skos:closeMatch	ORPHA:238583	semapv:ManualMappingCuration	eva	2030-03-26
6-pyruvoyl-tetrahydropterin synthase deficiency	disease	skos:closeMatch	ORPHA:13	semapv:ManualMappingCuration	eva	2030-03-26
6q terminal deletion syndrome	disease	skos:closeMatch	MONDO:0019164	semapv:ManualMappingCuration	eva	2030-03-26
7p22.1 microduplication syndrome	disease	skos:closeMatch	MONDO:0017792	semapv:ManualMappingCuration	eva	2030-03-26
7q11.23 microduplication syndrome	disease	skos:closeMatch	MONDO:0012342	semapv:ManualMappingCuration	eva	2030-03-26
8p inverted duplication/deletion syndrome	disease	skos:closeMatch	MONDO:0019876	semapv:ManualMappingCuration	eva	2030-03-26
8p23.1 duplication syndrome	disease	skos:closeMatch	MONDO:0016659	semapv:ManualMappingCuration	eva	2030-03-26
8q24.3 microdeletion syndrome	disease	skos:closeMatch	MONDO:0014263	semapv:ManualMappingCuration	eva	2030-03-26
9q34 microduplication syndrome	disease	skos:closeMatch	MONDO:0012081	semapv:ManualMappingCuration	eva	2030-03-26
a20 haploinsufficiency	disease	skos:closeMatch	MONDO:0100222	semapv:ManualMappingCuration	eva	2030-03-26
aarskog syndrome	disease	skos:closeMatch	MONDO:0010589	semapv:ManualMappingCuration	eva	2030-03-26
abca1-related disorder	disease	skos:closeMatch	MONDO:0015369	semapv:ManualMappingCuration	eva	2030-03-26
abca1-related disorders	disease	skos:closeMatch	MONDO:0015369	semapv:ManualMappingCuration	eva	2030-03-26
