#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/ukbiobank.sssom.tsv
#mapping_set_description: UK Biobank phenotype mappings to EFO
#subject_type: rdfs literal
#subject_source: https://github.com/EBISPOT/EFO-UKB-mappings
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
"""Oedema, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009373	semapv:ManualMappingCuration	efo	2019-04-26
"""Open wound of abdomen, lower back and pelvis"""	disease	skos:closeMatch	EFO:0009502	semapv:ManualMappingCuration	efo	2019-04-26
"""Other and unspecified injuries of abdomen, lower back and pelvis"""	disease	skos:closeMatch	EFO:0009502	semapv:ManualMappingCuration	efo	2019-04-26
"""Other complications of labour and delivery, not elsewhere classified"""	phenotype	skos:closeMatch	HP:0001787	semapv:ManualMappingCuration	efo	2019-04-26
"""Other complications of surgical and medical care, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009518	semapv:ManualMappingCuration	efo	2019-04-26
"""Other congenital malformations of tongue, mouth and pharynx"""	disease	skos:closeMatch	ORPHA:183530	semapv:ManualMappingCuration	efo	2019-04-26
"""Other disorders involving the immune mechanism, not elsewhere classified"""	disease	skos:closeMatch	EFO:0000540	semapv:ManualMappingCuration	efo	2019-04-26
"""Other disorders of ear, not elsewhere classified"""	disease	skos:closeMatch	EFO:1001455	semapv:ManualMappingCuration	efo	2019-04-26
"""Other disorders of fluid, electrolyte and acid-base balance"""	phenotype	skos:closeMatch	HP:0001939	semapv:ManualMappingCuration	efo	2019-04-26
"""Other disorders of kidney and ureter, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009690	semapv:ManualMappingCuration	efo	2019-04-26
"""Other disorders of skin and subcutaneous tissue, not elsewhere classified"""	disease	skos:closeMatch	EFO:0000701	semapv:ManualMappingCuration	efo	2019-04-26
"""Other dorsopathies, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009676	semapv:ManualMappingCuration	efo	2019-04-26
"""Other joint disorders, not elsewhere classified"""	disease	skos:closeMatch	EFO:1000999	semapv:ManualMappingCuration	efo	2019-04-26
"""Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"""	disease	skos:closeMatch	EFO:0009682	semapv:ManualMappingCuration	efo	2019-04-26
"""Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"""	disease	skos:closeMatch	EFO:0001642	semapv:ManualMappingCuration	efo	2019-04-26
"""Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"""	disease	skos:closeMatch	EFO:1000201	semapv:ManualMappingCuration	efo	2019-04-26
"""Other noninflammatory disorders of uterus, except cervix"""	disease	skos:closeMatch	EFO:0009549	semapv:ManualMappingCuration	efo	2019-04-26
"""Other predominantly sexually transmitted diseases, not elsewhere classified"""	disease	skos:closeMatch	EFO:0003955	semapv:ManualMappingCuration	efo	2019-04-26
"""Other soft tissue disorders, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009470	semapv:ManualMappingCuration	efo	2019-04-26
"""Persons encountering health services for other counselling and medical advice, not elsewhere classified"""	factor	skos:closeMatch	EFO:0009786	semapv:ManualMappingCuration	efo	2019-04-26
"""Persons encountering health services for specifie procedures, not carried out"""	factor	skos:closeMatch	EFO:0009786	semapv:ManualMappingCuration	efo	2019-04-26
"""Pleural effusion, not elsewhere classified"""	phenotype	skos:closeMatch	EFO:0009637	semapv:ManualMappingCuration	efo	2019-04-26
"""Pneumonia, organism unspecified"""	disease	skos:closeMatch	EFO:0003106	semapv:ManualMappingCuration	efo	2019-04-26
"""Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs"""	disease	skos:closeMatch	EFO:0008546	semapv:ManualMappingCuration	efo	2019-04-26
"""Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"""	disease	skos:closeMatch	EFO:0008546	semapv:ManualMappingCuration	efo	2019-04-26
"""Poisoning by nonopioid analgesics, antipyretics and antirheumatics"""	disease	skos:closeMatch	EFO:0008546	semapv:ManualMappingCuration	efo	2019-04-26
"""Poisoning by psychotropic drugs, not elsewhere classified"""	disease	skos:closeMatch	EFO:0008546	semapv:ManualMappingCuration	efo	2019-04-26
"""Postprocedural disorders of digestive system, not elsewhere classified"""	disease	skos:closeMatch	EFO:0000405	semapv:ManualMappingCuration	efo	2019-04-26
"""Postprocedural disorders of eye and adnexa, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009546	semapv:ManualMappingCuration	efo	2019-04-26
"""Postprocedural disorders of genito-urinary system, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009663	semapv:ManualMappingCuration	efo	2019-04-26
"""Postprocedural musculoskeletal disorders, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009676	semapv:ManualMappingCuration	efo	2019-04-26
"""Pulse rate, automated reading"""	measurement	skos:closeMatch	EFO:0004326	semapv:ManualMappingCuration	efo	2019-04-26
"""Reaction to severe stress, and adjustment disorders"""	measurement	skos:closeMatch	EFO:0006783	semapv:ManualMappingCuration	efo	2019-04-26
"""Redundant prepuce, phimosis and paraphimosis"""	disease	skos:closeMatch	EFO:1001104	semapv:ManualMappingCuration	efo	2019-04-26
"""Respiratory failure, not elsewhere classified"""	disease	skos:closeMatch	EFO:0009686	semapv:ManualMappingCuration	efo	2019-04-26
"""Seen a psychiatrist for nerves, anxiety, tension or depression"""	quality	skos:closeMatch	EFO:0009821	semapv:ManualMappingCuration	efo	2019-04-26
"""Seen doctor (GP) for nerves, anxiety, tension or depression"""	quality	skos:closeMatch	EFO:0009820	semapv:ManualMappingCuration	efo	2019-04-26
"""Sexual dysfunction, not caused by organic disorder or disease"""	phenotype	skos:closeMatch	EFO:0004714	semapv:ManualMappingCuration	efo	2019-04-26
"""Somnolence, stupor and coma"""	phenotype	skos:closeMatch	HP:0001259	semapv:ManualMappingCuration	efo	2019-04-26
"""Speech disturbances, not elsewhere classified"""	phenotype	skos:closeMatch	HP:0011098	semapv:ManualMappingCuration	efo	2019-04-26
"""Systolic blood pressure, automated reading"""	measurement	skos:closeMatch	EFO:0006335	semapv:ManualMappingCuration	efo	2019-04-26
"""Tubulo-interstitial nephritis, not specified as acute or chronic"""	disease	skos:closeMatch	EFO:1002050	semapv:ManualMappingCuration	efo	2019-04-26
"""Ulcer of lower limb, not elsewhere classified"""	phenotype	skos:closeMatch	EFO:0007068	semapv:ManualMappingCuration	efo	2019-04-26
"""malignant lymph node, unspecified"""	disease	skos:closeMatch	EFO:0001642	semapv:ManualMappingCuration	efo	2019-04-26
Abdominal and pelvic pain	phenotype	skos:closeMatch	EFO:0003766	semapv:ManualMappingCuration	efo	2019-04-26
Able to walk or cycle unaided for 10 minutes	quality	skos:closeMatch	EFO:0009822	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings in cerebrospinal fluid	phenotype	skos:closeMatch	HP:0002921	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings in specimens from female genital organs	phenotype	skos:closeMatch	HP:0000008	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings in specimens from male genital organs	phenotype	skos:closeMatch	HP:0000022	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings in specimens from respiratory organs and thorax	phenotype	skos:closeMatch	HP:0002086	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings on diagnostic imaging of central nervous system	phenotype	skos:closeMatch	HP:0002011	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings on diagnostic imaging of lung	phenotype	skos:closeMatch	HP:0002088	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal findings on diagnostic imaging of other body structures	experimental process	skos:closeMatch	EFO:0009827	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal leukocyte morphology	phenotype	skos:closeMatch	HP:0001881	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal results of function studies	factor	skos:closeMatch	EFO:0009628	semapv:ManualMappingCuration	efo	2019-04-26
Abnormal serum enzyme levels	phenotype	skos:closeMatch	EFO:0009826	semapv:ManualMappingCuration	efo	2019-04-26
Abnormalities of breathing	phenotype	skos:closeMatch	HP:0005957	semapv:ManualMappingCuration	efo	2019-04-26
Abnormalities of forces of labour	phenotype	skos:closeMatch	HP:0001787	semapv:ManualMappingCuration	efo	2019-04-26
Abnormalities of gait and mobility	phenotype	skos:closeMatch	HP:0001288	semapv:ManualMappingCuration	efo	2019-04-26
Abnormalities of heart beat	disease	skos:closeMatch	EFO:0004269	semapv:ManualMappingCuration	efo	2019-04-26
Abnormality of aromatic amino acid family metabolism	phenotype	skos:closeMatch	HP:0004338	semapv:ManualMappingCuration	efo	2019-04-26
Abnormality of glycoprotein metabolism	phenotype	skos:closeMatch	HP:0004367	semapv:ManualMappingCuration	efo	2019-04-26
Abnormality of glycosaminoglycan metabolism	phenotype	skos:closeMatch	HP:0004371	semapv:ManualMappingCuration	efo	2019-04-26
Abnormality of movement	phenotype	skos:closeMatch	HP:0100022	semapv:ManualMappingCuration	efo	2019-04-26
Abnormality of red blood cells	phenotype	skos:closeMatch	HP:0001877	semapv:ManualMappingCuration	efo	2019-04-26
Abscess of anal and rectal regions	phenotype	skos:closeMatch	HP:0005224	semapv:ManualMappingCuration	efo	2019-04-26
Acanthosis nigricans	disease	skos:closeMatch	EFO:1000660	semapv:ManualMappingCuration	efo	2019-04-26
Acne	disease	skos:closeMatch	EFO:0003894	semapv:ManualMappingCuration	efo	2019-04-26
Acquired absence of limb	experimental process	skos:closeMatch	EFO:0009632	semapv:ManualMappingCuration	efo	2019-04-26
Acquired deformities of fingers and toes	disease	skos:closeMatch	ORPHA:294947	semapv:ManualMappingCuration	efo	2019-04-26
Acquired haemolytic anaemia	disease	skos:closeMatch	EFO:0005558	semapv:ManualMappingCuration	efo	2019-04-26
