#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/uniprot.sssom.tsv
#mapping_set_description: Curated disease mappings from UniProt
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/uniprot
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Amelogenesis imperfecta 1H	disease	skos:closeMatch	ORPHA:88661	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Amelogenesis imperfecta, hypomaturation type, 2A5	disease	skos:closeMatch	ORPHA:100033	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Amyotrophic lateral sclerosis 22, with or without frontotemporal dementia	disease	skos:closeMatch	EFO:0000253	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Analbuminemia	disease	skos:closeMatch	ORPHA:86816	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Aortic aneurysm, familial thoracic 9	disease	skos:closeMatch	ORPHA:91387	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Arthrogryposis, distal, 3	disease	skos:closeMatch	ORPHA:376	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Atrial fibrillation, familial, 15	disease	skos:closeMatch	EFO:0000275	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Atrial fibrillation, familial, 16	disease	skos:closeMatch	EFO:0000275	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Atrial fibrillation, familial, 17	disease	skos:closeMatch	EFO:0000275	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Atrial standstill 2	disease	skos:closeMatch	ORPHA:1344	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Autism, X-linked 4	disease	skos:closeMatch	EFO:0003758	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Autoimmune interstitial lung, joint, and kidney disease	disease	skos:closeMatch	EFO:0004244	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Autoimmune lymphoproliferative syndrome 5	disease	skos:closeMatch	ORPHA:3261	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Bardet-Biedl syndrome 16	disease	skos:closeMatch	ORPHA:110	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Bardet-Biedl syndrome 17	disease	skos:closeMatch	ORPHA:110	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Bardet-Biedl syndrome 18	disease	skos:closeMatch	ORPHA:110	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Bardet-Biedl syndrome 19	disease	skos:closeMatch	ORPHA:110	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Basal ganglia calcification, idiopathic, 6	disease	skos:closeMatch	ORPHA:1980	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Bethlem myopathy 2	disease	skos:closeMatch	ORPHA:610	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Bleeding disorder, platelet-type 19	disease	skos:closeMatch	ORPHA:71202	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Bosch-Boonstra-Schaaf optic atrophy syndrome	disease	skos:closeMatch	ORPHA:401777	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Brugada syndrome 9	disease	skos:closeMatch	ORPHA:130	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Burn-McKeown syndrome	disease	skos:closeMatch	ORPHA:1200	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
CODAS syndrome	disease	skos:closeMatch	ORPHA:1458	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Candidiasis, familial, 9	disease	skos:closeMatch	ORPHA:1334	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Cardiac conduction disease with or without dilated cardiomyopathy	disease	skos:closeMatch	EFO:0005304	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	disease	skos:closeMatch	ORPHA:1561	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4	disease	skos:closeMatch	ORPHA:1561	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Cardiomyopathy, dilated 1NN	disease	skos:closeMatch	EFO:0000407	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Cardiomyopathy, familial hypertrophic 23, with or without left ventricular non-compaction	disease	skos:closeMatch	ORPHA:154	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cardiomyopathy, familial hypertrophic 24	disease	skos:closeMatch	EFO:0000538	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cataract 42	disease	skos:closeMatch	EFO:0001059	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Cataract 43	disease	skos:closeMatch	EFO:0001059	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cataract 44	disease	skos:closeMatch	EFO:0001059	semapv:ManualMappingCuration	Barbara Polka	2015-11-17
Catel-Manzke syndrome	disease	skos:closeMatch	ORPHA:1388	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
Cavitary optic disc anomalies	disease	skos:closeMatch	ORPHA:98671	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Cerebellar ataxia, areflexia, pes cavus, optic atrophy, and sensorineural hearing loss	disease	skos:closeMatch	ORPHA:1171	semapv:ManualMappingCuration	Barbara Polka	2015-08-28
Cerebro-oculo-facio-skeletal syndrome 3	disease	skos:closeMatch	ORPHA:1466	semapv:ManualMappingCuration	Barbara Polka	2015-11-24
Cerebrocostomandibular syndrome	disease	skos:closeMatch	ORPHA:1393	semapv:ManualMappingCuration	Barbara Polka	2015-08-21
