#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  PO: http://purl.obolibrary.org/obo/PO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  lbo: http://purl.obolibrary.org/obo/LBO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/faang.sssom.tsv
#mapping_set_description: FAANG project curated mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/vg/faang
subject_label	subject_category	predicate_id	object_id	mapping_justification
CD4-positive helper T cell	cellType	skos:closeMatch	CL:0000492	semapv:ManualMappingCuration
CD4-positive, alpha-beta T cell	cellType	skos:closeMatch	CL:0000624	semapv:ManualMappingCuration
CD8-positive T cell	cellType	skos:closeMatch	CL:0000625	semapv:ManualMappingCuration
CD8-positive, alpha-beta cytotoxic T cell	cellType	skos:closeMatch	CL:0000794	semapv:ManualMappingCuration
Caecum	organismPart, cellType	skos:closeMatch	UBERON:0001153	semapv:ManualMappingCuration
Caecum (smooth muscle)	organismPart, cellType	skos:closeMatch	UBERON:0001153	semapv:ManualMappingCuration
Capra aegagrus	organism	skos:closeMatch	NCBITaxon:9923	semapv:ManualMappingCuration
Capra hircus	organism, species	skos:closeMatch	NCBITaxon:9925	semapv:ManualMappingCuration
Caput epididymis	organismPart, cellType	skos:closeMatch	UBERON:0004358	semapv:ManualMappingCuration
Cartilage	organismPart, cellType	skos:closeMatch	UBERON:0002418	semapv:ManualMappingCuration
Cartilage tissue	organismPart, cellType	skos:closeMatch	UBERON:0002418	semapv:ManualMappingCuration
Cattle crossbreed	breed	skos:closeMatch	lbo:0001036	semapv:ManualMappingCuration
Cauda epididymis	organismPart, cellType	skos:closeMatch	UBERON:0004360	semapv:ManualMappingCuration
