#curie_map:
#  DOID: http://purl.obolibrary.org/obo/DOID_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#  omim: http://identifiers.org/omim/
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/cttv.sssom.tsv
#mapping_set_description: Curated disease indication mappings from Open Targets
#subject_type: rdfs literal
#subject_source: https://www.targetvalidation.org
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
ALS	disease	skos:closeMatch	EFO:0000253	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
ALSTROM SYNDROME	disease	skos:closeMatch	ORPHA:64	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6	disease	skos:closeMatch	ORPHA:100033	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6	disease	skos:closeMatch	ORPHA:88661	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
AMELOGENESIS IMPERFECTA, TYPE IF	disease	skos:closeMatch	ORPHA:88661	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
ANDERSEN SYNDROME	disease	skos:closeMatch	ORPHA:37553	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ib	disease	skos:closeMatch	ORPHA:98869	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
ARTHROGRYPOSIS, DISTAL, WITH IMPAIRED PROPRIOCEPTION AND TOUCH	disease	skos:closeMatch	ORPHA:97120	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
AUTISM	disease	skos:closeMatch	EFO:0003758	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
AUTISM SPECTRUM DISORDERS	disease	skos:closeMatch	EFO:0003756	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Abdominal obesity-metabolic syndrome 3	disease	skos:closeMatch	EFO:0000195	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
Abetalipoproteinemia	disease	skos:closeMatch	ORPHA:14	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Ablepharon-macrostomia syndrome	disease	skos:closeMatch	ORPHA:920	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Abruzzo Erickson syndrome	disease	skos:closeMatch	ORPHA:921	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
Absent corpus callosum cataract immunodeficiency	disease	skos:closeMatch	ORPHA:1493	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
Acatalasemia	disease	skos:closeMatch	ORPHA:926	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Acheiropody	disease	skos:closeMatch	ORPHA:931	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Achondrogenesis, type IA	disease	skos:closeMatch	ORPHA:93299	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
Achondrogenesis, type II	disease	skos:closeMatch	ORPHA:932	semapv:ManualMappingCuration	Gautier Koscielny	2017-06-06
Achondroplasia	disease	skos:closeMatch	ORPHA:15	semapv:ManualMappingCuration	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24
